site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,determiner,dateDetermined,notes
JC,71112,1,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,2,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,3,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,4,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,5,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,6,wasp,,,Hymenopappus newberryi,Hymenopappus newberryi,1,1,LCP,,,
JC,71112,7,small dark bee,,,Hymenopappus newberryi,Hymenopappus newberryi,1,1,LCP,,,
JC,71112,8,bumble bee,,,Potentilla fruticosa,Potentilla fruticosa,1,1,LCP,,,
JC,71112,9,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,10,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,11,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,12,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,13,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,14,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,15,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,16,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,17,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,18,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,19,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,20,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,21,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,22,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,23,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,1,1,LCP,,,
JC,71112,24,small dark bee,,,Potentilla hippiana,Potentilla hippiana,1,1,LCP,,,
JC,71112,25,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,1,1,LCP,,,
JC,71112,26,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,1,1,LCP,,,
JC,71212,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,2,1,HLS,,,
JC,71212,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,2,1,HLS,,,
JC,71212,1,bumble bee,,,red penstemen,Penstemon barbatus,2,1,LCP,,,
JC,71212,2,bumble bee,,,red penstemen,Penstemon barbatus,2,1,HLS,,,
JC,71212,3,bumble bee,,,red penstemen,Penstemon barbatus,2,1,HLS,,,
JC,71212,4,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,5,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,6,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,7,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71212,8,bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71212,9,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,10,bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71212,11,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,12,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,13,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,14,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,15,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,16,bumble bee,,,red penstemen,Penstemon barbatus,2,1,HLS,,,
JC,71212,17,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71212,18,bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71212,19,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,20,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,21,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,22,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,23,bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71212,24,bumble bee,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,25,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,26,bee,,,yarrow,Achillea millefolium,2,1,HLS,,,
JC,71212,27,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,28,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,29,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,30,bombyliid,,,pink,Eremogone fendleri,2,1,LCP,,,
JC,71212,31,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
